,Unnamed: 0,userid,number_of_logins,number_of_assignments,question_gradedright,question_complete,question_todo,question_gradedwrong,question_attempts,number_of_quizs,quiz_max_attempt,quiz_min_attempt,quiz_mean_attempt
140,140,1227,85,14,58,73,70,12,213,3,1,1,1
142,142,1229,55,2,0,3,3,0,9,1,1,1,1
146,146,1233,41,1,18,23,20,2,63,1,1,1,1
149,149,1236,42,2,12,23,20,8,63,1,1,1,1
152,152,1239,50,6,92,117,115,21,347,7,1,1,1
167,167,1254,95,11,60,60,60,0,180,1,1,1,1
169,169,1256,51,1,0,44,40,0,84,1,1,1,1
170,170,1257,39,5,0,3,3,0,9,1,1,1,1
175,175,1262,39,1,18,21,20,2,61,1,1,1,1
176,176,1263,91,6,13,21,20,7,61,1,1,1,1
179,179,1266,22,1,1,1,1,0,3,1,1,1,1
194,194,1281,36,6,0,3,3,0,9,1,1,1,1
195,195,1282,46,1,12,19,20,7,59,2,1,1,1
200,200,1287,232,7,28,33,32,0,97,6,1,1,1
203,203,1290,96,11,0,3,3,0,9,1,1,1,1
205,205,1292,44,3,0,3,3,0,9,1,1,1,1
207,207,1294,145,10,27,28,28,0,84,2,1,1,1
208,208,1295,94,7,28,28,28,0,86,2,1,1,1
210,210,1297,22,1,18,25,20,2,65,1,1,1,1
211,211,1298,430,7,31,32,32,0,96,6,1,1,1
214,214,1301,137,5,25,28,28,3,84,2,1,1,1
217,217,1304,92,10,28,28,28,0,84,2,1,1,1
218,218,1305,66,6,27,29,28,1,86,2,1,1,1
221,221,1308,232,7,13,16,31,0,63,5,1,1,1
222,222,1309,132,6,23,28,29,3,86,4,1,1,1
224,224,1311,62,9,26,27,28,0,83,2,1,1,1
225,225,1312,105,3,0,3,3,0,9,1,1,1,1
226,226,1313,154,6,28,28,28,0,84,2,1,1,1
227,227,1314,178,4,70,72,70,0,212,3,1,1,1
228,228,1315,96,8,37,38,38,1,114,3,1,1,1
234,234,1321,43,1,23,40,40,17,120,1,1,1,1
236,236,1323,210,12,27,34,33,2,100,6,2,1,1.142857143
237,237,1324,40,4,0,3,3,0,9,1,1,1,1
240,240,1327,56,1,22,42,40,18,122,1,1,1,1
243,243,1330,310,7,29,33,32,1,97,6,1,1,1
246,246,1333,256,5,29,32,32,0,96,6,1,1,1
247,247,1334,56,1,30,40,40,10,120,1,1,1,1
249,249,1336,387,8,31,33,32,0,97,6,1,1,1
250,250,1337,74,7,0,3,3,0,9,1,1,1,1
251,251,1338,315,6,30,33,32,1,97,6,1,1,1
252,252,1339,268,8,29,32,32,2,96,6,1,1,1
254,254,1341,191,6,28,32,33,1,97,6,2,1,1.142857143
256,256,1343,177,12,25,28,28,3,84,2,1,1,1
259,259,1346,315,5,34,37,37,1,110,6,2,1,1.142857143
261,261,1348,191,6,32,44,43,5,130,6,3,1,1.416666668
263,263,1350,107,4,11,22,22,9,66,1,1,1,1
270,270,1357,195,15,102,125,121,18,367,7,2,1,1.125
277,277,1364,65,6,52,86,87,23.5,262,6,1,1,1
285,285,1372,58,2,27,51,40,13,131,1,1,1,1
292,292,1379,133,12,61,92,78,9,245,5,2,1,1.166666667
293,293,1380,28,1,0,1,1,0,3,1,1,1,1
294,294,1381,84,14,0,9,5,0,19,2,1,1,1
305,305,1392,253,8,31,33,33,0,99,6,2,1,1.142857143
308,308,1395,59,1,70,82,80,10,242,2,1,1,1
309,309,1396,126,13,69,70,70,1,210,3,1,1,1
310,310,1397,97,11,68,74,72,2,218,5,1,1,1
311,311,1398,68,3,0,3,3,0,9,1,1,1,1
315,315,1402,177,9,28,29,28,0,85,2,1,1,1
316,316,1403,137,6,28,28,28,0,84,2,1,1,1
317,317,1404,193,8,24,29,28,3,85,2,1,1,1
329,329,1416,238,15,35,39,40,4,119,4,2,1,1.333333333
333,333,1420,200,3,0,15,5,0,25,1,1,1,1
337,337,1424,261,4,0,1,6,0,7,1,1,1,1
339,339,1426,63,1,27,102,80,15,261,3,2,1,1.4
341,341,1428,182,7,33,38,38,2,114,6,2,1,1.25
351,351,1438,124,5,0,3,6,0,12,1,2,1,1.416666668
353,353,1440,82,3,86,93,90,4,273,4,1,1,1
355,355,1442,58,3,20,40,40,20,120,1,1,1,1
357,357,1444,16,2,1,1,1,0,3,1,1,1,1
358,358,1445,106,5,28,28,28,0,84,2,1,1,1
380,380,1467,106,9,10,10,10,0,30,1,1,1,1
381,381,1468,62,2,60,60,60,0,180,1,2,1,1.416666668
383,383,1470,41,3,0,3,3,0,9,1,1,1,1
387,387,1474,76,5,0,3,3,0,9,1,1,1,1
389,389,1476,141,2,20,44,42,20,128,2,1,1,1
390,390,1477,45,4,0,3,3,0,9,1,1,1,1
391,391,1478,114,3,0,3,3,0,9,1,1,1,1
392,392,1479,76,5,0,3,3,0,9,1,1,1,1
393,393,1480,123,8,0,3,3,0,9,1,1,1,1
394,394,1481,59,1,27,41,40,13,121,1,1,1,1
398,398,1485,50,1,28,44,40,12,124,1,1,1,1
399,399,1486,135,1,26,42,40,13,122,1,1,1,1
407,407,1494,91,8,26,31,31,2,95,5,1,1,1
410,410,1497,194,6,20,20,20,0,60,1,1,1,1
418,418,1505,149,9,45,54,69,8,183,8.5,3,1,1.416666668
422,422,1509,64,2,0,9,5,0,19,2,1,1,1
429,429,1516,88,3,0,5,5,0,15,1,1,1,1
430,430,1517,266,9,36,40,37,0,114,2,1,1,1
432,432,1519,107,7,69,70,70,1,210,3,1,1,1
433,433,1520,218,5,3,5,5,1,15,1,1,1,1
441,441,1528,100,9,9,16,16,2,48,3,1,1,1
444,444,1531,108,7,17,20,20,3,60,1,1,1,1
445,445,1532,112,15,49,57,57,1,171,2,2,1,1.333333333
450,450,1537,56,6,0,9,5,0,19,1,1,1,1
452,452,1539,45,9,66,80,70,4,220,3,1,1,1
453,453,1540,106,11,70,70,70,0,210,3,1,1,1
459,459,1548,343,10,10,20,21,9,62,2,1,1,1
461,461,1550,78,4,7,8,9,1,25,2,2,1,1.333333333
467,467,1556,124,2,48,65,67,19,201,2,1,1,1
468,468,1557,82,1,39,62,65,21,192,3,2,1,1.25
469,469,1558,113,5,69,75,75,1,225,3,1,1,1
470,470,1559,32,3,65,72,75,5,219,3,1,1,1
471,471,1560,110,2,30,32,32,0,96,2,1,1,1
474,474,1563,115,3,0,5,5,0,15,2,1,1,1
475,475,1564,238,1,98,133,132,23.5,399,5,2,1,1.166666667
476,476,1565,136,2,73,100,99,22,298,3,1,1,1
478,478,1567,125,4,63,70,70,7,210,1,1,1,1
479,479,1568,60,2,56,60,60,4,180,1,1,1,1
483,483,1572,85,3,53,61,60,7,181,1,1,1,1
498,498,1587,55,2,76,98,97,19,292,2,1,1,1
514,514,1603,54,1,101,127,127,23.5,382,3,1,1,1
520,520,1609,226,5,83,97,97,12,291,2,1,1,1
526,526,1615,96,2,25,45,60,16,165,1,2,1,1.416666668
530,530,1619,58,2,37,40,40,3,120,1,1,1,1
537,537,1626,180,9,110.5,133,134.5,5,399.5,1,2,1,1.416666668
540,540,1629,136,4,110.5,133,134.5,21,399.5,4,1,1,1
548,548,1637,166,3,53,65,65,7,195,3,2,1,1.25
551,551,1640,100,4,110.5,133,134.5,8,399.5,4,2,1,1.2
553,553,1642,77,6,34,40,40,6,120,1,1,1,1
554,554,1643,257,2,81,98,97,14,292,2,1,1,1
555,555,1644,120,7,34,42,40,6,122,1,1,1,1
557,557,1646,56,1,19,20,20,1,60,1,1,1,1
558,558,1647,169,5,102,129,127,23,383,3,1,1,1
561,561,1650,92,2,94,120,120,23.5,360,2,2,1,1.333333333
562,562,1651,67,3,87,97,97,8,291,2,1,1,1
568,568,1657,22,5,21,30,30,9,90,1,1,1,1
572,572,1661,144,4,36,47,40,4,127,1,1,1,1
574,574,1663,109,5,63,70,70,7,210,2,1,1,1
577,577,1666,53,1,60,69,67,7,204,2,1,1,1
578,578,1667,69,13,63,70,70,7,210,1,1,1,1
582,582,1671,74,1,60,72,67,7,206,2,1,1,1
583,583,1672,29,9,29,33,30,1,93,1,1,1,1
586,586,1675,75,2,38,40,40,2,120,1,1,1,1
587,587,1676,58,10,110.5,133,134.5,8,399.5,1,2,1,1.416666668
590,590,1679,59,12,85,91,90,5,271,2,1,1,1
593,593,1682,66,9,28,32,30,2,92,1,1,1,1
594,594,1683,53,9,51,60,60,9,180,1,2,1,1.416666668
596,596,1685,93,4,37,40,40,3,120,1,1,1,1
597,597,1686,166,14,110.5,133,134.5,21,399.5,5,1,1,1
605,605,1694,141,1,110.5,129,134.5,22,399.5,6,1,1,1
606,606,1695,85,4,60,72,70,10,212,1,1,1,1
608,608,1697,57,4,59,70,70,11,210,1,1,1,1
619,619,1708,39,1,94,81,122,23.5,325,6,2,1,1.142857143
622,622,1711,49,4,17,20,20,3,60,1,1,1,1
624,624,1713,35,3,61,87,85,23,257,3,1,1,1
625,625,1714,127,6,54,68,60,6,188,2,1,1,1
642,642,1731,131,9,52,81,80,23.5,241,2,1,1,1
643,643,1732,113,10,95,106,105,10,316,2,1,1,1
645,645,1734,178,5,54,68,60,6,188,2,1,1,1
646,646,1735,95,2,14,57,55,6,132,2,1,1,1
647,647,1736,430,19,110.5,133,134.5,20,399.5,5,1,1,1
648,648,1737,106,2,75,88,85,10,258,3,1,1,1
649,649,1738,72,3,20,20,20,0,60,1,1,1,1
651,651,1740,77,7,83,94,90,7,274,3,1,1,1
658,658,1747,427,2,26,44,41,5,126,2,1,1,1
659,659,1748,130,1,26,41,81,5,203,2,2,1,1.333333333
660,660,1749,296,2,28,46,41,3,128,2,1,1,1
661,661,1750,97,3,28,43,41,3,124,2,1,1,1
662,662,1751,119,1,20,39,41,8,120,2,1,1,1
664,664,1753,268,1,49,90,81,13,252,2,2,1,1.333333333
665,665,1754,127,1,28,41,41,3,123,2,1,1,1
666,666,1755,218,1,23,44,41,8,126,2,1,1,1
667,667,1756,191,3,57,89,86,19,261,3,1,1,1
668,668,1757,88,2,27,41,41,4,123,2,1,1,1
669,669,1758,193,2,23,41,41,8,123,2,1,1,1
671,671,1760,97,1,88,125,126,23.5,377,4,1,1,1
672,672,1761,375,2,26,42,41,5,124,2,1,1,1
673,673,1762,207,1,25,45,41,6,127,2,1,1,1
675,675,1764,166,1,22,42,41,9,124,2,1,1,1
677,677,1766,176,2,24,42,41,7,124,2,1,1,1
678,678,1767,172,2,19,48,41,12,129,2,1,1,1
679,679,1768,269,1,29,42,41,2,124,2,1,1,1
680,680,1769,102,1,21,42,41,10,124,2,1,1,1
681,681,1770,168,1,28,46,41,3,128,2,1,1,1
682,682,1771,300,1,59,93,91,20,275,3,2,1,1.25
693,693,1782,312,7,60,61,60,0,181,1,1,1,1
694,694,1783,151,7,48,77,77,23.5,231,5,1,1,1
696,696,1785,337,4,68,97,92,19,281,8,1,1,1
705,705,1794,193,4,105,131,130,23.5,391,4,1,1,1
707,707,1796,78,2,28,48,41,3,129,2,1,1,1
716,716,1805,90,1,14,25,22,6,69,1,1,1,1
729,729,1818,430,3,110.5,133,134.5,22,399.5,5,2,1,1.166666667
733,733,1822,211,8,37,41,40,3,121,1,1,1,1
734,734,1823,249,3,0,2,2,0,6,1,1,1,1
735,735,1824,297,9,38,40,40,2,120,1,1,1,1
737,737,1826,254,3,37,45,45,8,135,1,1,1,1
740,740,1829,200,3,34,61,61,23.5,182,2,1,1,1
741,741,1830,277,2,0,2,2,0,6,1,1,1,1
742,742,1831,257,4,99,133,125,23.5,389,3,1,1,1
747,747,1836,205,3,93,104,102,7,308,3,1,1,1
748,748,1837,237,3,36,40,40,4,120,1,1,1,1
750,750,1839,82,1,36,40,40,4,120,1,1,1,1
751,751,1840,430,7,106,133,125,19,385,3,1,1,1
753,753,1842,430,20,110.5,133,134.5,23.5,399.5,4,1,1,1
755,755,1844,277,5,110.5,133,134.5,12,399.5,5,1,1,1
756,756,1845,430,16,110.5,133,134.5,14,399.5,4,1,1,1
757,757,1846,344,5,110.5,133,125,10,394,3,1,1,1
758,758,1847,221,4,110.5,133,134.5,18,399.5,4,1,1,1
759,759,1848,282,3,110.5,133,134.5,16,399.5,4,1,1,1
760,760,1849,320,16,110.5,133,134.5,23.5,399.5,5,1,1,1
761,761,1850,278,7,110.5,133,134.5,16,399.5,4,1,1,1
765,765,1854,117,1,0,15,8,0,31,1,1,1,1
798,798,1887,229,1,51,96,91,23.5,278,4,1,1,1
799,799,1888,145,2,41,85,81,23.5,247,3,1,1,1
800,800,1889,202,3,54,65,65,10,195,2,1,1,1
803,803,1892,124,3,53,78,75,22,228,4,1,1,1
804,804,1893,143,1,64,101,92,23,285,8,1,1,1
807,807,1896,258,5,82,116,109,23.5,334,6,2,1,1.333333333
808,808,1897,229,2,13,22,22,7,66,1,1,1,1
809,809,1898,365,9,110.5,133,134.5,23,399.5,3,2,1,1.25
812,812,1901,392,11,110.5,133,134.5,21,399.5,3,2,1,1.25
817,817,1906,119,4,56,92,85,23.5,262,5,1,1,1
819,819,1908,183,13,110.5,133,134.5,23.5,399.5,3,2,1,1.25
820,820,1909,266,2,81,97,115,14,307,5,1,1,1
831,831,1920,200,9,25,41,40,15,121,1,1,1,1
833,833,1922,404,4,48,49,50,1,150,1,2,1,1.416666668
837,837,1926,165,1,74,87,80,6,247,2,1,1,1
839,839,1928,81,1,84,103,100,13,303,2,2,1,1.333333333
841,841,1930,59,1,93,101,100,5,301,2,2,1,1.333333333
842,842,1931,64,5,30,30,30,0,90,1,1,1,1
844,844,1933,58,1,30,33,30,0,93,1,1,1,1
846,846,1935,106,1,63,70,70,4,210,2,1,1,1
850,850,1939,138,1,74,82,80,6,242,2,1,1,1
854,854,1943,154,5,39,41,40,0,121,1,1,1,1
856,856,1945,45,1,36,40,40,4,120,1,1,1,1
859,859,1948,215,9,97,133,134.5,23.5,399.5,4,2,1,1.2
860,860,1949,62,1,24,40,40,12,120,1,1,1,1
861,861,1950,104,1,38,44,40,1,124,1,1,1,1
869,869,1958,430,5,99,133,129,23.5,399.5,4,1,1,1
870,870,1959,430,5,110.5,133,129,9,399.5,4,1,1,1
872,872,1961,298,5,107,128,125,18,378,3,1,1,1
877,877,1966,408,5,110.5,133,134.5,23.5,399.5,4,1,1,1
880,880,1969,341,6,110.5,133,125,9,385,3,1,1,1
882,882,1972,430,8,110.5,133,125,10,385,3,1,1,1
883,883,1973,374,4,110.5,133,134.5,23.5,399.5,4,2,1,1.2
884,884,1974,311,4,102,133,125,22,390,3,1,1,1
890,890,1980,29,1,48,65,65,17,195,1,1,1,1
891,891,1981,86,3,39,65,65,23.5,195,1,1,1,1
892,892,1982,118,2,75,108,105,23.5,318,2,1,1,1
893,893,1983,416,6,20,20,20,0,60,1,1,1,1
894,894,1984,45,3,42,53,65,10,183,1,1,1,1
895,895,1985,71,5,64,66,65,1,196,1,1,1,1
897,897,1987,32,1,24,40,40,16,120,1,1,1,1
900,900,1990,85,5,88,105,105,17,315,2,1,1,1
901,901,1991,93,8,47,63,65,15,193,1,1,1,1
903,903,1993,119,7,75,108,105,23.5,318,2,1,1,1
905,905,1995,248,20.5,103,130,130,23.5,390,1,2,1,1.416666668
907,907,1997,115,1,30,46,40,10,126,1,1,1,1
908,908,1998,44,1,21,41,40,19,121,1,1,1,1
910,910,2000,22,4,7,11,10,2,31,1,1,1,1
911,911,2001,55,1,27,41,40,13,121,1,1,1,1
912,912,2002,137,12,62,87,87,18,256,6,2,1,1.25
921,921,2011,47,1,11,24,22,9,68,1,1,1,1
923,923,2013,135,11,66,71,70,4,211,3,1,1,1
926,926,2016,261,6,10,24,21,8,66,2,2,1,1.333333333
929,929,2019,29,1,24,43,40,16,123,1,1,1,1
930,930,2020,42,3,63,71,70,5,212,2,2,1,1.333333333
933,933,2023,358,7,0,6,6,0,18,1,1,1,1
937,937,2027,68,4,13,24,20,7,64,1,1,1,1
938,938,2028,144,16,0,11,5,0,19,2,1,1,1
944,944,2034,104,4,0,5,5,0,15,1,1,1,1
946,946,2036,128,8,0,3,3,0,9,1,1,1,1
950,950,2040,22,1,19,42,40,21,122,1,1,1,1
953,953,2043,7,1,18,22,20,2,62,1,1,1,1
956,956,2046,430,10,28,28,28,0,84,2,1,1,1
965,965,2055,45,4,35,65,65,23.5,195,1,1,1,1
966,966,2056,253,8,11,20,20,9,60,3,1,1,1
967,967,2057,358,4,14,31,30,16,91,4,2,1,1.2
968,968,2058,322,5,23,35,35,11,105,5,1,1,1
969,969,2059,406,5,48,63,61,6,185,7,2,1,1.222222222
971,971,2061,318,5,43,60,60,17,180,1,1,1,1
972,972,2062,430,1,29,51,48,17,149,2,2,1,1.333333333
974,974,2064,254,5,15,22,22,5,66,1,1,1,1
979,979,2069,331,6,14,22,22,6,66,1,1,1,1
980,980,2070,382,7,110.5,133,134.5,10,399.5,3,2,1,1.25
981,981,2071,343,6,110.5,133,134.5,7,399.5,2,2,1,1.333333333
982,982,2072,165,2,37,41,40,3,121,1,1,1,1
983,983,2073,430,8,89,115,115,23.5,345,4,1,1,1
984,984,2074,336,3,54,63,60,6,183,1,1,1,1
987,987,2077,283,7,110.5,133,132,8,397,5,1,1,1
988,988,2078,105,1,35,41,40,5,121,1,1,1,1
992,992,2082,250,7,29,42,40,11,122,1,1,1,1
993,993,2083,112,3,0,14,7,0,28,1,1,1,1
995,995,2085,323,4,71,83,83,9,249,3,1,1,1
996,996,2086,278,4,110,132,132,19,396,3,2,1,1.25
997,997,2087,241,7,60,60,60,0,180,1,1,1,1
999,999,2089,280,4,50,70,69,15,207,3,1,1,1
1000,1000,2090,187,2,45,61,62,15,184,2,2,1,1.333333333
1001,1001,2091,239,2,40,47,47,5,141,2,1,1,1
1002,1002,2092,372,7,110.5,133,134.5,20,399.5,6,1,1,1
1003,1003,2093,364,6,75,82,82,5,246,2,1,1,1
1004,1004,2094,184,2,57,83,83,23,249,3,1,1,1
1006,1006,2096,212,3,17,22,22,3,66,1,1,1,1
1007,1007,2097,369,6,54,62,60,6,182,1,1,1,1
1008,1008,2098,366,5,95,123,115,20,353,3,1,1,1
1009,1009,2099,291,6,54,82,83,23.5,247,3,1,1,1
1010,1010,2100,186,2,16,22,22,4,66,1,1,1,1
1011,1011,2101,258,3,12,20,20,8,60,1,1,1,1
1012,1012,2102,195,5,31,42,42,9,126,2,1,1,1
1013,1013,2103,333,11,101,113,110,9,333,4,1,1,1
1015,1015,2105,430,5,60,62,62,0,186,2,1,1,1
1016,1016,2106,430,6,98,110,100,2,310,2,1,1,1
1017,1017,2107,260,2,41,60,61,18,181,2,1,1,1
1018,1018,2108,325,5,108,127,127,17,381,4,1,1,1
1019,1019,2109,253,5,60,61,60,0,181,1,1,1,1
1020,1020,2110,146,5,78,100,100,22,300,2,1,1,1
1021,1021,2111,407,6,59,90,84,21,258,3,1,1,1
1022,1022,2112,175,1,68,93,88,18,269,3,1,1,1
1023,1023,2113,208,5,85,104,102,15,308,3,1,1,1
1025,1025,2115,181,2,70,85,85,15,255,2,1,1,1
1026,1026,2116,236,1,90,114,114,19,342,5,1,1,1
1027,1027,2117,334,7,55,66,60,5,186,1,1,1,1
1028,1028,2118,257,6,110.5,133,134.5,23.5,399.5,5,1,1,1
1029,1029,2119,337,8,75,83,82,5,247,2,1,1,1
1030,1030,2120,264,6,69,72,72,1,216,4,1,1,1
1032,1032,2122,172,10,56,60,60,4,180,1,1,1,1
1033,1033,2123,395,6,110.5,133,134.5,9,399.5,3,2,1,1.25
1034,1034,2124,401,7,60,60,60,0,180,1,1,1,1
1036,1036,2126,284,7,110.5,133,134.5,20,399.5,5,1,1,1
1038,1038,2128,370,3,17,22,22,3,66,1,1,1,1
1040,1040,2130,225,2,80,111,111,23.5,333,5,1,1,1
1043,1043,2133,249,7,73,88,88,14,264,3,1,1,1
1044,1044,2134,284,5,71,82,82,9,246,2,1,1,1
1046,1046,2136,216,2,41,48,47,4,142,2,1,1,1
1047,1047,2137,143,3,110.5,133,134.5,23.5,399.5,3,2,1,1.25
1049,1049,2139,204,4,86,94,92,3,278,3,2,1,1.25
1051,1051,2141,285,1,55,82,82,23.5,246,2,1,1,1
1052,1052,2142,220,5,54,62,60,6,182,1,1,1,1
1053,1053,2143,430,5,69,90,88,17,267,3,1,1,1
1054,1054,2144,328,2,59,82,83,21,248,3,1,1,1
1055,1055,2145,245,3,68,78,72,1,222,2,2,1,1.333333333
1056,1056,2146,430,2,60,78,82,10,242,4,1,1,1
1057,1057,2147,430,7,110.5,133,134.5,13,399.5,6,1,1,1
1061,1061,2151,205,6,17,22,22,3,66,1,1,1,1
1062,1062,2152,394,7,59,60,60,1,180,1,1,1,1
1064,1064,2154,325,2,58,87,83,22,253,5,1,1,1
1070,1070,2160,330,2,46,60,60,14,180,1,1,1,1
1083,1083,2173,107,5,26,41,40,14,121,1,1,1,1
1090,1090,2180,307,3,33,41,40,7,121,1,1,1,1
1093,1093,2183,415,8,38,44,42,2,128,2,1,1,1
1095,1095,2185,318,3,110.5,133,134.5,10,399.5,5,1,1,1
1096,1096,2186,377,3,110.5,133,134.5,8,399.5,5,1,1,1
1097,1097,2187,304,7,37,44,42,3,128,2,1,1,1
1099,1099,2189,430,5,110.5,133,134.5,6,399.5,5,1,1,1
1100,1100,2190,332,12,36,43,42,4,127,2,1,1,1
1101,1101,2191,250,5,38,42,42,2,126,2,1,1,1
1109,1109,2199,234,7,97,126,124,23,374,4,1,1,1
1110,1110,2200,363,3,82,107,104,18,315,3,1,1,1
1112,1112,2202,430,1,58,84,83,22,250,3,1,1,1
1114,1114,2204,260,8,58,83,83,22,249,3,1,1,1
1115,1115,2205,341,4,110.5,133,134.5,12,399.5,4,2,1,1.2
1116,1116,2206,311,10,54,61,60,6,181,1,1,1,1
1120,1120,2210,241,6,33,53,62,17,167,4,1,1,1
1121,1121,2211,271,8,19,22,22,1,66,1,1,1,1
1122,1122,2212,236,6,80,100,100,20,300,2,1,1,1
1123,1123,2213,321,7,37,45,42,3,127,2,1,1,1
1124,1124,2214,315,3,44,60,61,16,181,2,1,1,1
1126,1126,2216,153,12,57,61,60,3,181,1,1,1,1
1128,1128,2218,430,3,27,38,47,6,123,5,1,1,1
1130,1130,2220,215,9,99,102,100,1,302,2,1,1,1
1132,1132,2222,354,7,52,62,62,8,186,2,1,1,1
1133,1133,2223,411,8,99,101,100,1,301,2,1,1,1
1134,1134,2224,374,5,0,3,2,0,7,1,1,1,1
1136,1136,2226,343,14,58,60,60,2,180,1,1,1,1
1144,1144,2234,246,2,24,27,27,0,81,2,1,1,1
1146,1146,2236,386,11,96,104,100,4,304,2,1,1,1
1150,1150,2240,137,1,0,2,2,0,6,1,1,1,1
1156,1156,2246,77,3,0,2,2,0,6,1,1,1,1
1163,1163,2253,159,4,39,43,40,1,123,1,1,1,1
1164,1164,2254,158,8,72,84,80,8,244,1,2,1,1.416666668
1168,1168,2258,208,3,70,70,70,0,210,3,1,1,1
1170,1170,2261,108,2,70,70,70,0,210,3,1,1,1
1278,1278,2369,295,2,60,60,60,0,180,1,1,1,1
1280,1280,2371,218,1,110.5,130,134.5,3,399.5,5,1,1,1
1282,1282,2373,274,9,110.5,133,134.5,14,399.5,5,2,1,1.166666667
1284,1284,2375,223,3,97,110,102,3,314,3,1,1,1
1285,1285,2376,355,3,92,113,112,16,338,3,2,1,1.25
1286,1286,2377,216,11,0,2,2,0,6,1,1,1,1
1289,1289,2380,430,9,67,73,72,3,217,4,1,1,1
1291,1291,2382,342,8,74,101,82,6,263,3,1,1,1
1292,1292,2383,237,7,69,91,80,11,251,2,1,1,1
1293,1293,2384,250,5,0,2,2,0,6,1,1,1,1
1294,1294,2385,306,4,39,52,42,1,136,2,1,1,1
1296,1296,2387,250,11,2,11,11,7,33,2,1,1,1
